pair_id,card_a,card_b,ground_truth,prediction,correct,adherence_score,order_score,combined_score,response_len,has_card_description,has_order_of_events,has_synergy_analysis,has_conclusion,has_final_score
Armaments|Ghostly Armor,Armaments,Ghostly Armor,1,1,1,1.0,1.0,1.0,1390,1,1,1,1,1
Armaments|Clothesline,Armaments,Clothesline,1,0,0,1.0,1.0,1.0,1355,1,1,1,1,1
Armaments|Limit Break,Armaments,Limit Break,1,0,0,1.0,1.0,1.0,1721,1,1,1,1,1
Armaments|Clash,Armaments,Clash,1,1,1,1.0,1.0,1.0,1726,1,1,1,1,1
Armaments|Fire Breathing,Armaments,Fire Breathing,1,0,0,1.0,1.0,1.0,1761,1,1,1,1,1
Armaments|Fiend Fire,Armaments,Fiend Fire,1,0,0,1.0,1.0,1.0,1750,1,1,1,1,1
Armaments|Shockwave,Armaments,Shockwave,1,0,0,1.0,1.0,1.0,1583,1,1,1,1,1
Armaments|Rage,Armaments,Rage,1,1,1,1.0,1.0,1.0,1405,1,1,1,1,1
Armaments|Offering,Armaments,Offering,1,0,0,1.0,1.0,1.0,1678,1,1,1,1,1
Armaments|Pommel Strike,Armaments,Pommel Strike,1,0,0,1.0,1.0,1.0,1404,1,1,1,1,1
Armaments|Carnage,Armaments,Carnage,1,0,0,1.0,1.0,1.0,1522,1,1,1,1,1
Armaments|Inflame,Armaments,Inflame,1,1,1,1.0,1.0,1.0,1441,1,1,1,1,1
Armaments|Burning Pact,Armaments,Burning Pact,1,0,0,1.0,1.0,1.0,1613,1,1,1,1,1
Armaments|Reckless Charge,Armaments,Reckless Charge,1,0,0,1.0,1.0,1.0,1706,1,1,1,1,1
Armaments|Blood for Blood,Armaments,Blood for Blood,1,1,1,1.0,1.0,1.0,1542,1,1,1,1,1
Armaments|Metallicize,Armaments,Metallicize,1,1,1,1.0,1.0,1.0,1291,1,1,1,1,1
Armaments|Feed,Armaments,Feed,1,1,1,1.0,1.0,1.0,1716,1,1,1,1,1
Armaments|Uppercut,Armaments,Uppercut,1,1,1,1.0,1.0,1.0,1717,1,1,1,1,1
Armaments|Headbutt,Armaments,Headbutt,1,0,0,1.0,1.0,1.0,1558,1,1,1,1,1
Armaments|Dual Wield,Armaments,Dual Wield,1,1,1,1.0,1.0,1.0,1495,1,1,1,1,1
Armaments|Impervious,Armaments,Impervious,1,1,1,1.0,1.0,1.0,1454,1,1,1,1,1
Armaments|Barricade,Armaments,Barricade,1,1,1,1.0,1.0,1.0,1516,1,1,1,1,1
Armaments|Double Tap,Armaments,Double Tap,1,1,1,1.0,1.0,1.0,1418,1,1,1,1,1
Armaments|Flame Barrier,Armaments,Flame Barrier,1,0,0,1.0,1.0,1.0,1746,1,1,1,1,1
Armaments|Dark Embrace,Armaments,Dark Embrace,1,0,0,1.0,1.0,1.0,1350,1,1,1,1,1
Armaments|Defend,Armaments,Defend,1,0,0,1.0,1.0,1.0,1335,1,1,1,1,1
Armaments|Seeing Red,Armaments,Seeing Red,1,0,0,1.0,1.0,1.0,1464,1,1,1,1,1
Armaments|Warcry,Armaments,Warcry,1,0,0,1.0,1.0,1.0,1546,1,1,1,1,1
Armaments|Strike,Armaments,Strike,1,0,0,1.0,1.0,1.0,1397,1,1,1,1,1
Armaments|Battle Trance,Armaments,Battle Trance,1,0,0,1.0,1.0,1.0,1487,1,1,1,1,1
Armaments|Twin Strike,Armaments,Twin Strike,1,0,0,1.0,1.0,1.0,1510,1,1,1,1,1
Armaments|Berserk,Armaments,Berserk,1,0,0,1.0,1.0,1.0,1687,1,1,1,1,1
Armaments|Juggernaut,Armaments,Juggernaut,1,1,1,1.0,1.0,1.0,1346,1,1,1,1,1
Armaments|Perfected Strike,Armaments,Perfected Strike,1,1,1,1.0,1.0,1.0,1588,1,1,1,1,1
Armaments|Second Wind,Armaments,Second Wind,1,-1,0,1.0,1.0,1.0,1673,1,1,1,1,1
Corruption|Armaments,Corruption,Armaments,1,1,1,1.0,1.0,1.0,1561,1,1,1,1,1
Corruption|Corruption,Corruption,Corruption,-1,0,0,1.0,1.0,1.0,1353,1,1,1,1,1
Corruption|Havoc,Corruption,Havoc,1,1,1,1.0,1.0,1.0,1566,1,1,1,1,1
Corruption|Bash,Corruption,Bash,0,0,1,1.0,1.0,1.0,1407,1,1,1,1,1
Corruption|Feel No Pain,Corruption,Feel No Pain,1,1,1,1.0,1.0,1.0,1290,1,1,1,1,1
Corruption|Bludgeon,Corruption,Bludgeon,0,0,1,1.0,1.0,1.0,1271,1,1,1,1,1
Corruption|Combust,Corruption,Combust,0,1,0,1.0,1.0,1.0,1367,1,1,1,1,1
Corruption|Heavy Blade,Corruption,Heavy Blade,0,0,1,1.0,1.0,1.0,1336,1,1,1,1,1
Corruption|Immolate,Corruption,Immolate,0,0,1,1.0,1.0,1.0,1360,1,1,1,1,1
Corruption|Demon Form,Corruption,Demon Form,0,0,1,1.0,1.0,1.0,1359,1,1,1,1,1
Corruption|Evolve,Corruption,Evolve,1,0,0,1.0,1.0,1.0,1573,1,1,1,1,1
Corruption|Intimidate,Corruption,Intimidate,0,1,0,1.0,1.0,1.0,1402,1,1,1,1,1
Corruption|Rupture,Corruption,Rupture,0,0,1,1.0,1.0,1.0,1356,1,1,1,1,1
Corruption|Thunderclap,Corruption,Thunderclap,0,0,1,1.0,1.0,1.0,1130,1,1,1,1,1
Corruption|Flex,Corruption,Flex,0,1,0,1.0,1.0,1.0,1323,1,1,1,1,1
Corruption|Wild Strike,Corruption,Wild Strike,0,0,1,1.0,1.0,1.0,1185,1,1,1,1,1
Corruption|Body Slam,Corruption,Body Slam,0,0,1,1.0,1.0,1.0,1387,1,1,1,1,1
Corruption|Entrench,Corruption,Entrench,1,1,1,1.0,1.0,1.0,1744,1,1,1,1,1
Corruption|Spot Weakness,Corruption,Spot Weakness,1,1,1,1.0,1.0,1.0,1344,1,1,1,1,1
Corruption|Exhume,Corruption,Exhume,1,1,1,1.0,1.0,1.0,1589,1,1,1,1,1
Corruption|Hemokinesis,Corruption,Hemokinesis,0,0,1,1.0,1.0,1.0,1228,1,1,1,1,1
Corruption|Infernal Blade,Corruption,Infernal Blade,1,1,1,1.0,1.0,1.0,1652,1,1,1,1,1
Corruption|Shrug it Off,Corruption,Shrug it Off,1,1,1,1.0,1.0,1.0,1342,1,1,1,1,1
Corruption|Power Through,Corruption,Power Through,1,-1,0,1.0,1.0,1.0,1670,1,1,1,1,1
Corruption|Pummel,Corruption,Pummel,0,0,1,1.0,1.0,1.0,1143,1,1,1,1,1
Corruption|Disarm,Corruption,Disarm,1,1,1,1.0,1.0,1.0,1408,1,1,1,1,1
Corruption|Cleave,Corruption,Cleave,0,0,1,1.0,1.0,1.0,1198,1,1,1,1,1
Corruption|Whirlwind,Corruption,Whirlwind,0,0,1,1.0,1.0,1.0,1391,1,1,1,1,1
Corruption|Rampage,Corruption,Rampage,1,0,0,1.0,1.0,1.0,1337,1,1,1,1,1
Corruption|Dropkick,Corruption,Dropkick,0,0,1,1.0,1.0,1.0,1448,1,1,1,1,1
Corruption|Sentinel,Corruption,Sentinel,1,1,1,1.0,1.0,1.0,1252,1,1,1,1,1
Corruption|Searing Blow,Corruption,Searing Blow,0,0,1,1.0,1.0,1.0,1352,1,1,1,1,1
Corruption|True Grit,Corruption,True Grit,1,1,1,1.0,1.0,1.0,1590,1,1,1,1,1
Corruption|Brutality,Corruption,Brutality,1,0,0,1.0,1.0,1.0,1230,1,1,1,1,1
Corruption|Bloodletting,Corruption,Bloodletting,-1,1,0,1.0,1.0,1.0,1479,1,1,1,1,1
Corruption|Reaper,Corruption,Reaper,0,0,1,1.0,1.0,1.0,1178,1,1,1,1,1
Corruption|Iron Wave,Corruption,Iron Wave,0,0,1,1.0,1.0,1.0,1159,1,1,1,1,1
Corruption|Sever Soul,Corruption,Sever Soul,1,0,0,1.0,1.0,1.0,1536,1,1,1,1,1
Corruption|Anger,Corruption,Anger,0,0,1,1.0,1.0,1.0,1298,1,1,1,1,1
Corruption|Sword Boomerang,Corruption,Sword Boomerang,0,0,1,1.0,1.0,1.0,1222,1,1,1,1,1
Corruption|Ghostly Armor,Corruption,Ghostly Armor,1,1,1,1.0,1.0,1.0,1238,1,1,1,1,1
Corruption|Clothesline,Corruption,Clothesline,0,0,1,1.0,1.0,1.0,1084,1,1,1,1,1
Corruption|Limit Break,Corruption,Limit Break,1,1,1,1.0,1.0,1.0,1124,1,1,1,1,1
Corruption|Clash,Corruption,Clash,1,0,0,1.0,1.0,1.0,1529,1,1,1,1,1
Corruption|Fire Breathing,Corruption,Fire Breathing,1,0,0,1.0,1.0,1.0,1494,1,1,1,1,1
Corruption|Fiend Fire,Corruption,Fiend Fire,0,1,0,1.0,1.0,1.0,1475,1,1,1,1,1
Corruption|Shockwave,Corruption,Shockwave,1,1,1,1.0,1.0,1.0,1306,1,1,1,1,1
Corruption|Rage,Corruption,Rage,0,0,1,1.0,1.0,1.0,1603,1,1,1,1,1
Corruption|Offering,Corruption,Offering,0,1,0,1.0,1.0,1.0,1544,1,1,1,1,1
Corruption|Pommel Strike,Corruption,Pommel Strike,1,0,0,1.0,1.0,1.0,1259,1,1,1,1,1
Corruption|Carnage,Corruption,Carnage,0,0,1,1.0,1.0,1.0,1183,1,1,1,1,1
Corruption|Inflame,Corruption,Inflame,0,0,1,1.0,1.0,1.0,1130,1,1,1,1,1
Corruption|Burning Pact,Corruption,Burning Pact,1,1,1,1.0,1.0,1.0,1292,1,1,1,1,1
Corruption|Reckless Charge,Corruption,Reckless Charge,0,0,1,1.0,1.0,1.0,1260,1,1,1,1,1
Corruption|Blood for Blood,Corruption,Blood for Blood,0,0,1,1.0,1.0,1.0,1475,1,1,1,1,1
Corruption|Metallicize,Corruption,Metallicize,0,0,1,1.0,1.0,1.0,1424,1,1,1,1,1
Corruption|Feed,Corruption,Feed,0,0,1,1.0,1.0,1.0,1330,1,1,1,1,1
Corruption|Uppercut,Corruption,Uppercut,0,0,1,1.0,1.0,1.0,1189,1,1,1,1,1
Corruption|Headbutt,Corruption,Headbutt,0,0,1,1.0,1.0,1.0,1402,1,1,1,1,1
Corruption|Dual Wield,Corruption,Dual Wield,1,1,1,1.0,1.0,1.0,1555,1,1,1,1,1
Corruption|Impervious,Corruption,Impervious,1,1,1,1.0,1.0,1.0,1333,1,1,1,1,1
Corruption|Barricade,Corruption,Barricade,0,0,1,1.0,1.0,1.0,1376,1,1,1,1,1
Corruption|Double Tap,Corruption,Double Tap,1,1,1,1.0,1.0,1.0,1294,1,1,1,1,1
Corruption|Flame Barrier,Corruption,Flame Barrier,1,1,1,1.0,1.0,1.0,1441,1,1,1,1,1
Corruption|Dark Embrace,Corruption,Dark Embrace,1,1,1,1.0,1.0,1.0,1304,1,1,1,1,1
Corruption|Defend,Corruption,Defend,1,1,1,1.0,1.0,1.0,1276,1,1,1,1,1
Corruption|Seeing Red,Corruption,Seeing Red,1,1,1,1.0,1.0,1.0,1315,1,1,1,1,1
Corruption|Warcry,Corruption,Warcry,0,1,0,1.0,1.0,1.0,1390,1,1,1,1,1
Corruption|Strike,Corruption,Strike,0,0,1,1.0,1.0,1.0,970,1,1,1,1,1
Corruption|Battle Trance,Corruption,Battle Trance,1,1,1,1.0,1.0,1.0,1571,1,1,1,1,1
Corruption|Twin Strike,Corruption,Twin Strike,0,0,1,1.0,1.0,1.0,1259,1,1,1,1,1
Corruption|Berserk,Corruption,Berserk,-1,0,0,1.0,1.0,1.0,1581,1,1,1,1,1
Corruption|Juggernaut,Corruption,Juggernaut,0,0,1,1.0,1.0,1.0,1288,1,1,1,1,1
Corruption|Perfected Strike,Corruption,Perfected Strike,0,0,1,1.0,1.0,1.0,1611,1,1,1,1,1
Corruption|Second Wind,Corruption,Second Wind,1,1,1,1.0,1.0,1.0,1587,1,1,1,1,1
Havoc|Armaments,Havoc,Armaments,0,0,1,1.0,1.0,1.0,1600,1,1,1,1,1
Havoc|Corruption,Havoc,Corruption,0,0,1,1.0,1.0,1.0,1325,1,1,1,1,1
Havoc|Havoc,Havoc,Havoc,0,1,0,1.0,1.0,1.0,1584,1,1,1,1,1
Havoc|Bash,Havoc,Bash,0,0,1,1.0,1.0,1.0,1508,1,1,1,1,1
Havoc|Feel No Pain,Havoc,Feel No Pain,0,1,0,1.0,1.0,1.0,1169,1,1,1,1,1
Havoc|Bludgeon,Havoc,Bludgeon,0,0,1,1.0,1.0,1.0,1633,1,1,1,1,1
Havoc|Combust,Havoc,Combust,0,0,1,1.0,1.0,1.0,1594,1,1,1,1,1
Havoc|Heavy Blade,Havoc,Heavy Blade,0,1,0,1.0,1.0,1.0,1746,1,1,1,1,1
Havoc|Immolate,Havoc,Immolate,0,0,1,1.0,1.0,1.0,1848,1,1,1,1,1
Havoc|Demon Form,Havoc,Demon Form,0,0,1,1.0,1.0,1.0,1336,1,1,1,1,1
Havoc|Evolve,Havoc,Evolve,0,0,1,1.0,1.0,1.0,1729,1,1,1,1,1
Havoc|Intimidate,Havoc,Intimidate,0,0,1,1.0,1.0,1.0,1442,1,1,1,1,1
Havoc|Rupture,Havoc,Rupture,0,0,1,1.0,1.0,1.0,1467,1,1,1,1,1
Havoc|Thunderclap,Havoc,Thunderclap,0,1,0,1.0,1.0,1.0,1759,1,1,1,1,1
Havoc|Flex,Havoc,Flex,0,0,1,1.0,1.0,1.0,1778,1,1,1,1,1
Havoc|Wild Strike,Havoc,Wild Strike,0,1,0,1.0,1.0,1.0,1595,1,1,1,1,1
Havoc|Body Slam,Havoc,Body Slam,0,1,0,1.0,1.0,1.0,1726,1,1,1,1,1
Havoc|Entrench,Havoc,Entrench,0,1,0,1.0,1.0,1.0,1574,1,1,1,1,1
Havoc|Spot Weakness,Havoc,Spot Weakness,0,0,1,1.0,1.0,1.0,1539,1,1,1,1,1
Havoc|Exhume,Havoc,Exhume,1,1,1,1.0,1.0,1.0,1691,1,1,1,1,1
Havoc|Hemokinesis,Havoc,Hemokinesis,0,0,1,1.0,1.0,1.0,1820,1,1,1,1,1
Havoc|Infernal Blade,Havoc,Infernal Blade,0,1,0,1.0,1.0,1.0,1930,1,1,1,1,1
Havoc|Shrug it Off,Havoc,Shrug it Off,0,1,0,1.0,1.0,1.0,1681,1,1,1,1,1
Havoc|Power Through,Havoc,Power Through,0,0,1,1.0,1.0,1.0,1333,1,1,1,1,1
Havoc|Pummel,Havoc,Pummel,0,0,1,1.0,1.0,1.0,1444,1,1,1,1,1
Havoc|Disarm,Havoc,Disarm,0,0,1,1.0,1.0,1.0,1614,1,1,1,1,1
Havoc|Cleave,Havoc,Cleave,0,0,1,1.0,1.0,1.0,1710,1,1,1,1,1
Havoc|Whirlwind,Havoc,Whirlwind,0,1,0,1.0,1.0,1.0,1754,1,1,1,1,1
Havoc|Rampage,Havoc,Rampage,1,1,1,1.0,1.0,1.0,1638,1,1,1,1,1
Havoc|Dropkick,Havoc,Dropkick,0,0,1,1.0,1.0,1.0,1484,1,1,1,1,1
Havoc|Sentinel,Havoc,Sentinel,0,1,0,1.0,1.0,1.0,1432,1,1,1,1,1
Havoc|Searing Blow,Havoc,Searing Blow,0,1,0,1.0,1.0,1.0,1555,1,1,1,1,1
Havoc|True Grit,Havoc,True Grit,0,1,0,1.0,1.0,1.0,1957,1,1,1,1,1
Havoc|Brutality,Havoc,Brutality,0,0,1,1.0,1.0,1.0,1417,1,1,1,1,1
Havoc|Bloodletting,Havoc,Bloodletting,0,0,1,1.0,1.0,1.0,1336,1,1,1,1,1
Havoc|Reaper,Havoc,Reaper,0,1,0,1.0,1.0,1.0,1705,1,1,1,1,1
Havoc|Iron Wave,Havoc,Iron Wave,0,0,1,1.0,1.0,1.0,1433,1,1,1,1,1
Havoc|Sever Soul,Havoc,Sever Soul,0,1,0,1.0,1.0,1.0,1995,1,1,1,1,1
Havoc|Anger,Havoc,Anger,0,1,0,1.0,1.0,1.0,1718,1,1,1,1,1
Havoc|Sword Boomerang,Havoc,Sword Boomerang,0,1,0,1.0,1.0,1.0,1695,1,1,1,1,1
Havoc|Ghostly Armor,Havoc,Ghostly Armor,0,0,1,1.0,1.0,1.0,1442,1,1,1,1,1
Havoc|Clothesline,Havoc,Clothesline,0,0,1,1.0,1.0,1.0,1543,1,1,1,1,1
Havoc|Limit Break,Havoc,Limit Break,0,0,1,1.0,1.0,1.0,1626,1,1,1,1,1
Havoc|Clash,Havoc,Clash,0,0,1,1.0,1.0,1.0,1521,1,1,1,1,1
Havoc|Fire Breathing,Havoc,Fire Breathing,0,0,1,1.0,1.0,1.0,1765,1,1,1,1,1
Havoc|Fiend Fire,Havoc,Fiend Fire,0,1,0,1.0,1.0,1.0,1512,1,1,1,1,1
Havoc|Shockwave,Havoc,Shockwave,0,1,0,1.0,1.0,1.0,1448,1,1,1,1,1
Havoc|Rage,Havoc,Rage,0,0,1,1.0,1.0,1.0,1664,1,1,1,1,1
Havoc|Offering,Havoc,Offering,0,0,1,1.0,1.0,1.0,1819,1,1,1,1,1
Havoc|Pommel Strike,Havoc,Pommel Strike,0,0,1,1.0,1.0,1.0,1496,1,1,1,1,1
Havoc|Carnage,Havoc,Carnage,0,0,1,1.0,1.0,1.0,1519,1,1,1,1,1
Havoc|Inflame,Havoc,Inflame,0,0,1,1.0,1.0,1.0,1267,1,1,1,1,1
Havoc|Burning Pact,Havoc,Burning Pact,0,1,0,1.0,1.0,1.0,1501,1,1,1,1,1
Havoc|Reckless Charge,Havoc,Reckless Charge,0,-1,0,1.0,1.0,1.0,1807,1,1,1,1,1
Havoc|Blood for Blood,Havoc,Blood for Blood,0,0,1,1.0,1.0,1.0,1818,1,1,1,1,1
Havoc|Metallicize,Havoc,Metallicize,0,0,1,1.0,1.0,1.0,1553,1,1,1,1,1
Havoc|Feed,Havoc,Feed,-1,0,0,1.0,1.0,1.0,1686,1,1,1,1,1
Havoc|Uppercut,Havoc,Uppercut,0,0,1,1.0,1.0,1.0,1909,1,1,1,1,1
Havoc|Headbutt,Havoc,Headbutt,0,1,0,1.0,1.0,1.0,1838,1,1,1,1,1
Havoc|Dual Wield,Havoc,Dual Wield,0,1,0,1.0,1.0,1.0,1931,1,1,1,1,1
Havoc|Impervious,Havoc,Impervious,0,0,1,1.0,1.0,1.0,1638,1,1,1,1,1
Havoc|Barricade,Havoc,Barricade,0,0,1,1.0,1.0,1.0,1523,1,1,1,1,1
Havoc|Double Tap,Havoc,Double Tap,0,-1,0,1.0,1.0,1.0,1386,1,1,1,1,1
Havoc|Flame Barrier,Havoc,Flame Barrier,0,0,1,1.0,1.0,1.0,1535,1,1,1,1,1
Havoc|Dark Embrace,Havoc,Dark Embrace,0,1,0,1.0,1.0,1.0,1098,1,1,1,1,1
Havoc|Defend,Havoc,Defend,0,0,1,1.0,1.0,1.0,1449,1,1,1,1,1
Havoc|Seeing Red,Havoc,Seeing Red,0,0,1,1.0,1.0,1.0,1354,1,1,1,1,1
Havoc|Warcry,Havoc,Warcry,0,0,1,1.0,1.0,1.0,1592,1,1,1,1,1
Havoc|Strike,Havoc,Strike,0,1,0,1.0,1.0,1.0,1571,1,1,1,1,1
Havoc|Battle Trance,Havoc,Battle Trance,0,0,1,1.0,1.0,1.0,1761,1,1,1,1,1
Havoc|Twin Strike,Havoc,Twin Strike,0,0,1,1.0,1.0,1.0,1537,1,1,1,1,1
Havoc|Berserk,Havoc,Berserk,0,1,0,1.0,1.0,1.0,1905,1,1,1,1,1
Havoc|Juggernaut,Havoc,Juggernaut,0,0,1,1.0,1.0,1.0,1525,1,1,1,1,1
Havoc|Perfected Strike,Havoc,Perfected Strike,-1,1,0,1.0,1.0,1.0,1873,1,1,1,1,1
Havoc|Second Wind,Havoc,Second Wind,0,0,1,1.0,1.0,1.0,1822,1,1,1,1,1
Bash|Armaments,Bash,Armaments,0,1,0,1.0,1.0,1.0,1456,1,1,1,1,1
Bash|Corruption,Bash,Corruption,0,0,1,1.0,1.0,1.0,1298,1,1,1,1,1
Bash|Havoc,Bash,Havoc,1,1,1,1.0,1.0,1.0,1483,1,1,1,1,1
Bash|Bash,Bash,Bash,1,1,1,1.0,1.0,1.0,1301,1,1,1,1,1
Bash|Feel No Pain,Bash,Feel No Pain,0,0,1,1.0,1.0,1.0,998,1,1,1,1,1
Bash|Bludgeon,Bash,Bludgeon,1,1,1,1.0,1.0,1.0,1051,1,1,1,1,1
Bash|Combust,Bash,Combust,0,1,0,1.0,1.0,1.0,1419,1,1,1,1,1
Bash|Heavy Blade,Bash,Heavy Blade,1,1,1,1.0,1.0,1.0,1249,1,1,1,1,1
Bash|Immolate,Bash,Immolate,1,1,1,1.0,1.0,1.0,1372,1,1,1,1,1
Bash|Demon Form,Bash,Demon Form,0,0,1,1.0,1.0,1.0,1301,1,1,1,1,1
Bash|Evolve,Bash,Evolve,0,0,1,1.0,1.0,1.0,1243,1,1,1,1,1
Bash|Intimidate,Bash,Intimidate,0,1,0,1.0,1.0,1.0,1365,1,1,1,1,1
Bash|Rupture,Bash,Rupture,0,0,1,1.0,1.0,1.0,1430,1,1,1,1,1
Bash|Thunderclap,Bash,Thunderclap,1,1,1,1.0,1.0,1.0,1318,1,1,1,1,1
Bash|Flex,Bash,Flex,0,0,1,1.0,1.0,1.0,1460,1,1,1,1,1
Bash|Wild Strike,Bash,Wild Strike,1,1,1,1.0,1.0,1.0,1311,1,1,1,1,1
Bash|Body Slam,Bash,Body Slam,1,1,1,1.0,1.0,1.0,1541,1,1,1,1,1
Bash|Entrench,Bash,Entrench,0,0,1,1.0,1.0,1.0,1365,1,1,1,1,1
Bash|Spot Weakness,Bash,Spot Weakness,0,1,0,1.0,1.0,1.0,1563,1,1,1,1,1
Bash|Exhume,Bash,Exhume,0,0,1,1.0,1.0,1.0,1333,1,1,1,1,1
Bash|Hemokinesis,Bash,Hemokinesis,1,1,1,1.0,1.0,1.0,1267,1,1,1,1,1
Bash|Infernal Blade,Bash,Infernal Blade,1,1,1,1.0,1.0,1.0,1301,1,1,1,1,1
Bash|Shrug it Off,Bash,Shrug it Off,0,0,1,1.0,1.0,1.0,1287,1,1,1,1,1
Bash|Power Through,Bash,Power Through,0,0,1,1.0,1.0,1.0,1447,1,1,1,1,1
Bash|Pummel,Bash,Pummel,1,1,1,1.0,1.0,1.0,1132,1,1,1,1,1
Bash|Disarm,Bash,Disarm,0,0,1,1.0,1.0,1.0,1314,1,1,1,1,1
Bash|Cleave,Bash,Cleave,1,1,1,1.0,1.0,1.0,1169,1,1,1,1,1
Bash|Whirlwind,Bash,Whirlwind,1,1,1,1.0,1.0,1.0,1560,1,1,1,1,1
Bash|Rampage,Bash,Rampage,1,1,1,1.0,1.0,1.0,1271,1,1,1,1,1
Bash|Dropkick,Bash,Dropkick,1,1,1,1.0,1.0,1.0,1137,1,1,1,1,1
Bash|Sentinel,Bash,Sentinel,0,0,1,1.0,1.0,1.0,1467,1,1,1,1,1
Bash|Searing Blow,Bash,Searing Blow,1,1,1,1.0,1.0,1.0,1233,1,1,1,1,1
Bash|True Grit,Bash,True Grit,0,0,1,1.0,1.0,1.0,1353,1,1,1,1,1
Bash|Brutality,Bash,Brutality,0,0,1,1.0,1.0,1.0,1157,1,1,1,1,1
Bash|Bloodletting,Bash,Bloodletting,0,0,1,1.0,1.0,1.0,1063,1,1,1,1,1
Bash|Reaper,Bash,Reaper,1,1,1,1.0,1.0,1.0,1491,1,1,1,1,1
